Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Type
630.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,4100000,Apartment
1500.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,12000000,Apartment
550.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,3500000,Apartment
2500.0,4,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,15000000,Apartment
2800.0,5,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,17500000,Apartment
300.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,1900000,Apartment
800.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5500000,Apartment
1295.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,10000000,Apartment
700.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,4700000,Apartment
350.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,2400000,Builder_Floor
450.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,3800000,Builder_Floor
2200.0,4,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,23000000,Builder_Floor
2300.0,4,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,24500000,Builder_Floor
1150.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,10000000,Builder_Floor
800.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5500000,Builder_Floor
850.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,7000000,Builder_Floor
720.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,6500000,Builder_Floor
750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5000000,Apartment
950.0,3,2.0,Furnished,Other,1.0,4370000,Apartment
1000.0,3,2.0,Unfurnished,Other,1.0,4620000,Apartment
850.0,2,1.0,Semi-Furnished,Other,1.0,1900000,Apartment
1350.0,3,2.0,Unfurnished,Other,1.0,5130000,Apartment
540.0,2,2.0,Semi-Furnished,Other,1.0,3000000,Apartment
1387.0,4,4.0,Unfurnished,Other,1.0,5890000,Apartment
540.0,2,2.0,Semi-Furnished,Other,1.0,3300000,Apartment
976.0,2,2.0,Furnished,Other,1.0,24900000,Apartment
1050.0,3,2.0,Unfurnished,Other,1.0,3700000,Apartment
1500.0,3,2.0,Unfurnished,Other,1.0,17400000,Apartment
1000.0,3,2.0,Semi-Furnished,Other,1.0,5510000,Builder_Floor
1135.0,3,3.0,Furnished,"The Amaryllis, Karol Bagh",2.0,25000000,Apartment
850.0,2,2.0,Semi-Furnished,Other,1.0,2940000,Apartment
1200.0,3,3.0,Semi-Furnished,Other,1.0,15500000,Apartment
1700.0,3,2.0,Semi-Furnished,Other,1.0,17200000,Apartment
1100.0,2,2.0,Semi-Furnished,Other,1.0,15000000,Apartment
1550.0,4,3.0,Semi-Furnished,Other,1.0,13000000,Builder_Floor
1600.0,3,3.0,Semi-Furnished,Other,1.0,30000000,Builder_Floor
700.0,2,2.0,Semi-Furnished,Other,1.0,2400000,Builder_Floor
45.0,4,3.0,Unfurnished,Other,1.0,5500000,Builder_Floor
1700.0,3,3.0,Semi-Furnished,Other,2.0,38500000,Builder_Floor
2500.0,3,3.0,Semi-Furnished,Other,2.0,50000000,Apartment
1600.0,3,3.0,Semi-Furnished,New Friends Colony,2.0,40000000,Apartment
2200.0,4,4.0,Semi-Furnished,Other,2.0,50000000,Builder_Floor
2070.0,3,3.0,Semi-Furnished,Other,2.0,37500000,Builder_Floor
2800.0,6,4.0,Semi-Furnished,Other,2.0,29500000,Apartment
1400.0,3,3.0,Semi-Furnished,New Friends Colony,2.0,50000000,Builder_Floor
2200.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",2.0,47500000,Builder_Floor
2200.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",1.0,40000000,Builder_Floor
1440.0,3,3.0,Semi-Furnished,"Kailash Colony, Greater Kailash",3.0,26000000,Builder_Floor
900.0,2,2.0,Semi-Furnished,"Kailash Colony, Greater Kailash",3.0,20000000,Builder_Floor
1200.0,3,2.0,Semi-Furnished,"Kailash Colony, Greater Kailash",3.0,17000000,Builder_Floor
2799.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",2.0,43000000,Builder_Floor
1350.0,3,3.0,Unfurnished,"Kailash Colony, Greater Kailash",1.0,26000000,Builder_Floor
1200.0,3,3.0,Unfurnished,"Kailash Colony, Greater Kailash",1.0,25000000,Builder_Floor
1500.0,3,3.0,Semi-Furnished,"Kailash Colony, Greater Kailash",2.0,40000000,Builder_Floor
1600.0,3,3.0,Unfurnished,"Kailash Colony, Greater Kailash",1.0,22500000,Builder_Floor
2150.0,4,4.0,Unfurnished,"Kailash Colony, Greater Kailash",2.0,45000000,Builder_Floor
1150.0,3,3.0,Semi-Furnished,"Kailash Colony, Greater Kailash",1.0,25500000,Builder_Floor
1240.0,3,3.0,Unfurnished,"Kailash Colony, Greater Kailash",2.0,26500000,Builder_Floor
